 year,Energy type,Value,year_f
1965,Geo Biomass,17.9852314,1/1/1965
1966,Geo Biomass,19.80600739,1/1/1966
1967,Geo Biomass,19.98657036,1/1/1967
1968,Geo Biomass,22.12004471,1/1/1968
1969,Geo Biomass,23.25796509,1/1/1969
1970,Geo Biomass,25.70189667,1/1/1970
1971,Geo Biomass,27.88829422,1/1/1971
1972,Geo Biomass,29.88877487,1/1/1972
1973,Geo Biomass,32.0958519,1/1/1973
1974,Geo Biomass,34.28908539,1/1/1974
1975,Geo Biomass,34.81208038,1/1/1975
1976,Geo Biomass,38.79104996,1/1/1976
1977,Geo Biomass,40.89204025,1/1/1977
1978,Geo Biomass,43.29664993,1/1/1978
1979,Geo Biomass,46.49925613,1/1/1979
1980,Geo Biomass,49.71746445,1/1/1980
1981,Geo Biomass,53.48617172,1/1/1981
1982,Geo Biomass,61.70895386,1/1/1982
1983,Geo Biomass,68.35492706,1/1/1983
1984,Geo Biomass,76.34615326,1/1/1984
1985,Geo Biomass,79.07157898,1/1/1985
1986,Geo Biomass,85.91538239,1/1/1986
1987,Geo Biomass,91.96002197,1/1/1987
1988,Geo Biomass,94.60190582,1/1/1988
1989,Geo Biomass,104.530365,1/1/1989
1990,Geo Biomass,117.1966019,1/1/1990
1991,Geo Biomass,122.2344055,1/1/1991
1992,Geo Biomass,131.1373444,1/1/1992
1993,Geo Biomass,135.5193176,1/1/1993
1994,Geo Biomass,140.6436768,1/1/1994
1995,Geo Biomass,146.6167297,1/1/1995
1996,Geo Biomass,150.6828918,1/1/1996
1997,Geo Biomass,161.3907318,1/1/1997
1998,Geo Biomass,168.1891022,1/1/1998
1999,Geo Biomass,176.6198425,1/1/1999
2000,Geo Biomass,184.7501984,1/1/2000
2001,Geo Biomass,191.894104,1/1/2001
2002,Geo Biomass,206.54245,1/1/2002
2003,Geo Biomass,218.1429443,1/1/2003
2004,Geo Biomass,235.696228,1/1/2004
2005,Geo Biomass,255.0817108,1/1/2005
2006,Geo Biomass,271.760437,1/1/2006
2007,Geo Biomass,294.8430786,1/1/2007
2008,Geo Biomass,315.4187317,1/1/2008
2009,Geo Biomass,338.8140259,1/1/2009
2010,Geo Biomass,380.7774658,1/1/2010
2011,Geo Biomass,402.3552551,1/1/2011
2012,Geo Biomass,435.7163696,1/1/2012
2013,Geo Biomass,470.9959106,1/1/2013
2014,Geo Biomass,510.2568054,1/1/2014
2015,Geo Biomass,551.1013184,1/1/2015
2016,Geo Biomass,559.9602051,1/1/2016
2017,Geo Biomass,596.4204712,1/1/2017
2018,Geo Biomass,643.0320435,1/1/2018
2019,Geo Biomass,674.7453613,1/1/2019
2020,Geo Biomass,703.9164429,1/1/2020
2021,Geo Biomass,762.7826538,1/1/2021
1965,Hydro,923.1980591,1/1/1965
1966,Hydro,983.8169556,1/1/1966
1967,Hydro,1005.742371,1/1/1967
1968,Hydro,1059.288696,1/1/1968
1969,Hydro,1121.742432,1/1/1969
1970,Hydro,1174.649658,1/1/1970
1971,Hydro,1227.242188,1/1/1971
1972,Hydro,1284.629028,1/1/1972
1973,Hydro,1303.012939,1/1/1973
1974,Hydro,1431.231689,1/1/1974
1975,Hydro,1448.883423,1/1/1975
1976,Hydro,1443.136597,1/1/1976
1977,Hydro,1491.672363,1/1/1977
1978,Hydro,1614.382324,1/1/1978
1979,Hydro,1695.186157,1/1/1979
1980,Hydro,1731.649292,1/1/1980
1981,Hydro,1768.903564,1/1/1981
1982,Hydro,1800.908081,1/1/1982
1983,Hydro,1877.768921,1/1/1983
1984,Hydro,1941.373413,1/1/1984
1985,Hydro,1979.781982,1/1/1985
1986,Hydro,2006.592896,1/1/1986
1987,Hydro,2033.777954,1/1/1987
1988,Hydro,2098.947021,1/1/1988
1989,Hydro,2087.793213,1/1/1989
1990,Hydro,2158.743408,1/1/1990
1991,Hydro,2209.058594,1/1/1991
1992,Hydro,2208.460205,1/1/1992
1993,Hydro,2341.45752,1/1/1993
1994,Hydro,2356.195801,1/1/1994
1995,Hydro,2483.678955,1/1/1995
1996,Hydro,2517.025391,1/1/1996
1997,Hydro,2561.030029,1/1/1997
1998,Hydro,2580.99585,1/1/1998
1999,Hydro,2600.543213,1/1/1999
2000,Hydro,2646.666992,1/1/2000
2001,Hydro,2578.681885,1/1/2001
2002,Hydro,2626.26001,1/1/2002
2003,Hydro,2622.821289,1/1/2003
2004,Hydro,2816.453125,1/1/2004
2005,Hydro,2911.281494,1/1/2005
2006,Hydro,3022.085693,1/1/2006
2007,Hydro,3072.892334,1/1/2007
2008,Hydro,3251.430908,1/1/2008
2009,Hydro,3246.414063,1/1/2009
2010,Hydro,3429.209961,1/1/2010
2011,Hydro,3492.671875,1/1/2011
2012,Hydro,3641.910889,1/1/2012
2013,Hydro,3788.332275,1/1/2013
2014,Hydro,3889.021973,1/1/2014
2015,Hydro,3878.368164,1/1/2015
2016,Hydro,4012.452393,1/1/2016
2017,Hydro,4069.982666,1/1/2017
2018,Hydro,4183.166504,1/1/2018
2019,Hydro,4231.376953,1/1/2019
2020,Hydro,4345.990234,1/1/2020
2021,Hydro,4273.827637,1/1/2021
1965,Solar,0,1/1/1965
1966,Solar,0,1/1/1966
1967,Solar,0,1/1/1967
1968,Solar,0,1/1/1968
1969,Solar,0,1/1/1969
1970,Solar,0,1/1/1970
1971,Solar,0,1/1/1971
1972,Solar,0,1/1/1972
1973,Solar,0,1/1/1973
1974,Solar,0,1/1/1974
1975,Solar,0,1/1/1975
1976,Solar,0,1/1/1976
1977,Solar,0,1/1/1977
1978,Solar,0,1/1/1978
1979,Solar,0,1/1/1979
1980,Solar,0,1/1/1980
1981,Solar,0,1/1/1981
1982,Solar,0,1/1/1982
1983,Solar,0.003,1/1/1983
1984,Solar,0.006311111,1/1/1984
1985,Solar,0.011747475,1/1/1985
1986,Solar,0.015183838,1/1/1986
1987,Solar,0.01060303,1/1/1987
1988,Solar,0.01019596,1/1/1988
1989,Solar,0.262223244,1/1/1989
1990,Solar,0.388294935,1/1/1990
1991,Solar,0.505202889,1/1/1991
1992,Solar,0.4665851,1/1/1992
1993,Solar,0.556697547,1/1/1993
1994,Solar,0.59701395,1/1/1994
